"res","true","agreed","n_obs","prop","true_fct","area"
10,1,102240,249963,0.409020535039186,"1",100
10,2,1855410,2120104,0.875150464316845,"2",100
10,3,76024912,81532374,0.932450611581603,"3",100
10,4,17321068,18330727,0.94491986051617,"4",100
10,5,5005160,5794109,0.863836009988766,"5",100
10,6,68370027,73153137,0.934615107483361,"6",100
10,7,3251892,3716106,0.875080527842855,"7",100
10,8,38549352,40136895,0.960446790913946,"8",100
15,1,30492,59548,0.512057499832068,"1",225
15,2,820657,930469,0.881982097200444,"2",225
15,3,34073883,36207015,0.941085118450112,"3",225
15,4,7704867,8158520,0.944395184420704,"4",225
15,5,2153201,2485028,0.866469512617162,"5",225
15,6,30671167,32840478,0.933943988269598,"6",225
15,7,1422143,1629337,0.872835392555377,"7",225
15,8,17059329,17703368,0.963620538193636,"8",225
20,1,12690,23073,0.549993498894812,"1",400
20,2,458494,519993,0.881731100226349,"2",400
20,3,19234017,20379840,0.943776643977578,"3",400
20,4,4324665,4594456,0.94127901105158,"4",400
20,5,1170287,1364042,0.857955253577236,"5",400
20,6,17244301,18548831,0.929670500529117,"6",400
20,7,789384,909967,0.867486403353089,"7",400
20,8,9562129,9915318,0.964379458127314,"8",400
25,1,6526,10857,0.601086856406005,"1",625
25,2,292213,331214,0.882248334913379,"2",625
25,3,12353797,13047987,0.946797157293305,"3",625
25,4,2763656,2944194,0.938679991875535,"4",625
25,5,727140,852817,0.852633097135728,"5",625
25,6,11024627,11909404,0.925707701241809,"6",625
25,7,500782,579699,0.863865557815349,"7",625
25,8,6102283,6328465,0.96425957953469,"8",625
30,1,3592,5614,0.639828998931243,"1",900
30,2,201499,228991,0.879942879851173,"2",900
30,3,8602626,9065239,0.948968471763403,"3",900
30,4,1916133,2047132,0.936008523143598,"4",900
30,5,490892,579471,0.847138165671794,"5",900
30,6,7640495,8289153,0.921746166345343,"6",900
30,7,344900,400714,0.860713626177274,"7",900
30,8,4227100,4386344,0.963695505870037,"8",900
35,1,2271,3333,0.681368136813681,"1",1225
35,2,147164,167545,0.87835506878749,"2",1225
35,3,6332212,6664290,0.950170535796011,"3",1225
35,4,1404700,1505354,0.933135993261386,"4",1225
35,5,351875,419434,0.838928174635342,"5",1225
35,6,5595333,6097324,0.91767027633762,"6",1225
35,7,251755,293325,0.858280064774567,"7",1225
35,8,3097844,3218150,0.962616410049252,"8",1225
40,1,1509,2227,0.67759317467445,"1",1600
40,2,111922,127787,0.87584809096387,"2",1600
40,3,4855927,5105378,0.9511395630255,"3",1600
40,4,1073685,1153746,0.930607776755022,"4",1600
40,5,263129,315626,0.833673398262501,"5",1600
40,6,4270946,4673090,0.913944734640249,"6",1600
40,7,191756,224238,0.855144979887441,"7",1600
40,8,2366354,2461246,0.961445544248726,"8",1600
45,1,997,1398,0.713161659513591,"1",2025
45,2,87750,100682,0.871555988160744,"2",2025
45,3,3843507,4037963,0.951843045614831,"3",2025
45,4,846882,912641,0.92794647621573,"4",2025
45,5,203217,244594,0.830833953408506,"5",2025
45,6,3363578,3695105,0.910279410192674,"6",2025
45,7,150663,176448,0.853866294885745,"7",2025
45,8,1865425,1943275,0.959938763170421,"8",2025
50,1,709,1001,0.708291708291708,"1",2500
50,2,70656,81145,0.870737568550126,"2",2500
50,3,3116882,3273187,0.952246846880426,"3",2500
50,4,683921,738897,0.9255972077299,"4",2500
50,5,161423,195959,0.823759051638353,"5",2500
50,6,2714357,2993992,0.906601286843786,"6",2500
50,7,121436,142940,0.849559255631734,"7",2500
50,8,1507872,1573370,0.95837088542428,"8",2500
55,1,512,739,0.692828146143437,"1",3025
55,2,57927,66770,0.867560281563576,"2",3025
55,3,2578624,2707199,0.952506262007337,"3",3025
55,4,564142,611143,0.923093285859447,"4",3025
55,5,130982,159979,0.818744960276036,"5",3025
55,6,2236111,2474969,0.903490508365963,"6",3025
55,7,99832,117723,0.848024600120622,"7",3025
55,8,1243644,1299958,0.956680138896795,"8",3025
60,1,395,563,0.701598579040853,"1",3600
60,2,48535,56097,0.865197782412607,"2",3600
60,3,2168808,2275961,0.952919667779896,"3",3600
60,4,473040,513827,0.92062114291386,"4",3600
60,5,108116,132871,0.813691475190222,"5",3600
60,6,1873033,2080777,0.900160372783821,"6",3600
60,7,83619,98811,0.846251935513253,"7",3600
60,8,1042996,1091651,0.9554298947191,"8",3600
65,1,278,410,0.678048780487805,"1",4225
65,2,40875,47411,0.862141697074519,"2",4225
65,3,1848758,1939232,0.953345448094916,"3",4225
65,4,402673,438649,0.917984538891004,"4",4225
65,5,90782,111948,0.810930074677529,"5",4225
65,6,1590607,1773541,0.896853808285233,"6",4225
65,7,70904,84203,0.84206025913566,"7",4225
65,8,886933,930198,0.953488397093952,"8",4225
70,1,225,314,0.71656050955414,"1",4900
70,2,35069,40798,0.859576449825972,"2",4900
70,3,1595478,1673629,0.953304465924049,"3",4900
70,4,346541,378379,0.915856852520885,"4",4900
70,5,77033,95527,0.806400284736253,"5",4900
70,6,1367576,1529123,0.894353168450151,"6",4900
70,7,60909,72369,0.841644903204411,"7",4900
70,8,763150,801591,0.952044122251872,"8",4900
75,1,185,268,0.690298507462687,"1",5625
75,2,30504,35480,0.859751972942503,"2",5625
75,3,1390439,1458451,0.95336696261993,"3",5625
75,4,301148,329546,0.913826901252025,"4",5625
75,5,65695,82078,0.800397183167231,"5",5625
75,6,1187787,1332702,0.89126226268138,"6",5625
75,7,52877,62957,0.839890719062217,"7",5625
75,8,663632,698215,0.95046941128449,"8",5625
80,1,146,219,0.666666666666667,"1",6400
80,2,26565,31076,0.854839747715279,"2",6400
80,3,1223269,1283745,0.952890955758348,"3",6400
80,4,264176,289754,0.911725118548838,"4",6400
80,5,57263,71544,0.800388572067539,"5",6400
80,6,1040291,1170751,0.888567252985477,"6",6400
80,7,46322,55353,0.836847144689538,"7",6400
80,8,582017,613050,0.949379332843977,"8",6400
85,1,111,175,0.634285714285714,"1",7225
85,2,23510,27491,0.855188970935943,"2",7225
85,3,1083684,1137461,0.952721895519934,"3",7225
85,4,233724,257164,0.908851938840584,"4",7225
85,5,50059,62791,0.797232087401061,"5",7225
85,6,918673,1037014,0.8858829292565,"6",7225
85,7,40831,48777,0.837095352317691,"7",7225
85,8,514797,543513,0.947165937153297,"8",7225
90,1,96,152,0.631578947368421,"1",8100
90,2,20867,24480,0.852410130718954,"2",8100
90,3,967196,1015187,0.952726936022624,"3",8100
90,4,207947,229125,0.90757010365521,"4",8100
90,5,44153,55397,0.797028719966785,"5",8100
90,6,817697,925283,0.883726384252169,"6",8100
90,7,36278,43480,0.834360625574977,"7",8100
90,8,458524,484783,0.94583349663664,"8",8100
95,1,50,109,0.458715596330275,"1",9025
95,2,18657,22003,0.847929827750761,"2",9025
